"","Game","Stream time","Total watch time","Average viewers","Peak viewers","Followers","Followers per hour","Views","Views per hour"
"1","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","26610","1035627915","36565","173996","1064929","2401.192784","16415608","37013.772266"
"2","Portal 2|Portal_2|https://static-cdn.jtvnw.net/ttv-boxart/Portal%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","600","23214630","32362","57319","15412","1541.2","310362","31036.2"
"3","Phasmophobia|Phasmophobia|https://static-cdn.jtvnw.net/ttv-boxart/Phasmophobia-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","345","744120","1994","3234","4818","837.913043","13426","2334.956521"
"4","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","285","247665","1267","2275","863","181.68421","4724","994.526315"
"5","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","195","4505445","25257","40296","5368","1651.692307","133895","41198.461538"
"6","Fortnite|Fortnite|https://static-cdn.jtvnw.net/ttv-boxart/Fortnite-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","135","4678350","34654","48158","5073","2254.666666","99403","44179.111111"
"7","Superliminal|Superliminal|https://static-cdn.jtvnw.net/ttv-boxart/Superliminal-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","120","6238200","51985","54680","3578","1789","68201","34100.5"
"8","Who's Your Daddy|Whos_Your_Daddy|https://static-cdn.jtvnw.net/ttv-boxart/Who%27s%20Your%20Daddy-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","90","2901870","32243","34684","3479","2319.333333","35474","23649.333333"
"9","Slender: The Arrival|Slender_The_Arrival|https://static-cdn.jtvnw.net/ttv-boxart/./Slender:%20The%20Arrival-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","60","4051980","67533","80505","2473","2473","64405","64405"
"10","Tetris|Tetris|https://static-cdn.jtvnw.net/ttv-boxart/Tetris-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","45","97740","2172","2251","364","485.333333","1486","1981.333333"
"11","Five Nights at Freddy's: Sister Location|Five_Nights_at_Freddys_Sister_Location|https://static-cdn.jtvnw.net/ttv-boxart/./Five%20Nights%20at%20Freddy%27s:%20Sister%20Location-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","30","2587965","86265","88052","1437","2874","34968","69936"
"12","Little Nightmares|Little_Nightmares|https://static-cdn.jtvnw.net/ttv-boxart/Little%20Nightmares-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","15","2426220","161748","161748","1741","6964","79573","318292"